志洪嘉园,3栋,佛山市新力电梯有限公司,乘客电梯,31104420002010070046,,,,,TKJ800/1.6-JX,曳引驱动,,,,,,2017-5-23,中山市坦洲十四村志洪嘉园1栋,,,
志洪嘉园,2栋,佛山市新力电梯有限公司,乘客电梯,31104420002010070045,,,,,TKJ800/1.6-JX,曳引驱动,,,,,,2017-5-23,中山市坦洲十四村志洪嘉园1栋,,,
志洪嘉园,1栋,佛山市新力电梯有限公司,乘客电梯,31104420002010070047,,,,,TKJ800/1.6-JX,曳引驱动,,,,,,2017-5-23,中山市坦洲十四村志洪嘉园1栋,,,
岭秀城,,通力电梯有限公司,乘客电梯,31304404002016120029,,,,,KONE N MonoSpace,曳引驱动,,,,,,2018-1-30,拱北岭南路8号,,,
岭秀城,2#,通力电梯有限公司,乘客电梯,31304404002010100002,,,,,PT13/16-19,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,WS1DT3L2,通力电梯有限公司,载货电梯,32304404002013010001,,,,,GW20/05-19,曳引驱动,,,,,,2018-1-30,拱北岭南路8号,,,
岭秀城,WS1DT3L1,通力电梯有限公司,载货电梯,32304404002013010004,,,,,GW20/05-19,曳引驱动,,,,,,2018-1-30,拱北岭南路8号,,,
岭秀城,WS1DT2:L2,通力电梯有限公司,载货电梯,32104404002012120013,,,,,KONE1000,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,WS1DT2:L1,通力电梯有限公司,载货电梯,32104404002012120012,,,,,KONE1000,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,F1DT4L2,通力电梯有限公司,乘客电梯,31504404002013100003,,,,,PT13/16-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,,通力电梯有限公司,乘客电梯,31304404002013100012,,,,,PT13/16-19,曳引驱动,,,,,,2018-1-30,拱北岭南路8号,,,
岭秀城,,通力电梯有限公司,乘客电梯,31104404002009070140,,,,,PT13/20-19,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,AL21单元,通力电梯有限公司,乘客电梯,31104404002009070139,,,,,PT13/20-19,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,AL31单元,通力电梯有限公司,乘客电梯,31104404002009070138,,,,,PT13/20-19,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,BL32单元,通力电梯有限公司,乘客电梯,31104404002009070137,,,,,PT13/20-19,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,BL22单元,通力电梯有限公司,乘客电梯,31104404002009070136,,,,,PT13/20-19,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,BL12单元,通力电梯有限公司,乘客电梯,31104404002009070135,,,,,PT13/20-19,曳引驱动,,,,,,2018-5-17,拱北岭南路8号,,,
岭秀城,L17,通力电梯有限公司,乘客电梯,31104404002011100132,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,L24,通力电梯有限公司,乘客电梯,31104404002011100131,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,L22,通力电梯有限公司,乘客电梯,31104404002011100130,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,L23,通力电梯有限公司,乘客电梯,31104404002011100129,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,L21,通力电梯有限公司,乘客电梯,31104404002011100128,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,L20,通力电梯有限公司,乘客电梯,31104404002011100127,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,L18,通力电梯有限公司,乘客电梯,31104404002011100126,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,L19,通力电梯有限公司,乘客电梯,31104404002011100125,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,17栋12#,通力电梯有限公司,乘客电梯,31104404002009100023,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,17栋11#,通力电梯有限公司,乘客电梯,31104404002009100022,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,16栋2#,通力电梯有限公司,乘客电梯,31104404002009100021,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,16栋1#（L9）,通力电梯有限公司,乘客电梯,31104404002009100020,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,19栋16#,通力电梯有限公司,乘客电梯,31104404002009100019,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,18栋14#,通力电梯有限公司,乘客电梯,31104404002009100018,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
