矿大食堂,一食堂,泰州富士电梯,餐梯,34003203032014111495,,东芝电梯（中国）有限公司,2014-08-01,,,曳引驱动,3,3,3,300,0.4,2017-12-19,徐州市泉山区大学路1号,,,
矿大食堂,二食堂,斯迈普电梯,载货电梯,32303203112005111879,1#,东芝电梯（中国）有限公司,2005-07-01,D05-5070-179,LKD-EFP,曳引驱动,3,3,3,630,0.63,2017-12-19,徐州市泉山区大学路1号,,,
矿大食堂,三食堂（客）,恒达富士电梯,乘客电梯,31303203112009030092,2#,东芝电梯（中国）有限公司,2008-08-01,20080595,WT-VF,曳引驱动,3,3,3,1000,1,2017-12-19,徐州市泉山区大学路1号,,,
矿大食堂,三食堂（货）,恒达富士电梯,载货电梯,32103203112009030091,3#,上海三菱电梯有限公司,2008-06-01,20080596,WT-VF,曳引驱动,2,2,2,2000,0.5,2017-12-19,徐州市泉山区大学路1号,,,
矿大附属中学,餐厅,施塔德电梯,乘客电梯,31103203232017040012,1#,上海三菱电梯有限公司,2016-05-01,16NE0991,STD-W,曳引驱动,3,3,3,800,1,2017-12-19,大学路288,,,
恩华大厦,办公楼东梯,恒达富士电梯,乘客电梯,31103203032008030048,2,上海三菱电梯有限公司,2011-02-01,201101058A,TKJ1000/1.75-JXWVVVF,曳引驱动,17,17,17,1000,1.75,2018-05-22,民主南路69号,,,
恩华大厦,办公楼中梯,恒达富士电梯,乘客电梯,31103203032008030049,3,上海三菱电梯有限公司,2011-02-01,2011-01-01058B,TKJ1000/1.75-JXW,曳引驱动,17,17,17,1000,1.75,2018-05-22,民主南路69号,,,
恩华大厦,办公楼西梯,恒达富士电梯,乘客电梯,31103203032008030050,4,上海三菱电梯有限公司,2011-02-01,2011-01-01058C,TKJ1000/1.75-JXW,曳引驱动,17,17,17,1000,1.75,2018-05-22,民主南路69号,,,
恩华大厦,办公楼北梯,恒达富士电梯,乘客电梯,31103203032008030047,,上海三菱电梯有限公司,2011-08-01,201101058D,TKJ1000/1.75-JXWVVVF,曳引驱动,17,17,17,1000,1.75,2018-05-22,民主南路69号,,,
恩华仓库,仓库北梯,恒达富士电梯,载货电梯,31103203032016091716,,上海三菱电梯有限公司,2013-09-01,201603864,TKJ1600/1.0-JXWVVF,曳引驱动,6,6,6,1600,1,2017-12-04,民主南路69号,,,
