中天国际,10-1-1#,奥的斯 ,乘客电梯,31104211262015080005,,奥的斯 ,2014-12-9,F8N32709,TKJ1000/2.0,曳引驱动,,,,1000,2,2017-6-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,12-2#,奥的斯 ,乘客电梯,31104211262015080004,,奥的斯 ,2014-12-9,F8N32712,TKJ800/1.75,曳引驱动,,,,800,1.75,2017-6-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,12-1#,奥的斯 ,乘客电梯,31104211262015080003,,奥的斯 ,2014-12-9,F8N32711,TKJ800/1.75,曳引驱动,,,,800,1.75,2016-6-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,4-2#,奥的斯 ,乘客电梯,31104211262015080002,,奥的斯 ,2014-12-9,F8N32685,TKJ800/1.75,曳引驱动,,,,800,1.75,2016-6-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,4-1#,奥的斯 ,乘客电梯,31104211262015080001,,奥的斯 ,2014-12-9,F8N32686,TKJ800/1.75,曳引驱动,,,,800,1.75,2017-6-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
彭誉明私人,1#,广州广日,乘客电梯,TK10901,,广州广日,2017-3-1,17084033001,MAX-E825/1.0,曳引驱动,6,6,6,825,1,2017-6-23,蕲春县实验中学,彭誉明私人,,
中共蕲春县老干部工作局,3# 楼,广州广日,乘客电梯,TK10532,,广州广日,,16033833003,MAX-E/1050,曳引驱动,,,,1050,1.5,2017-4-10,蕲春大道,中共蕲春县委老干部工作局,,
中共蕲春县老干部工作局,1#,广州广日,乘客电梯,TK10531,,广州广日,,16033833001,MAX-E/1050,曳引驱动,,,,1050,1.5,2017-4-10,蕲春大道,中共蕲春县委老干部工作局,,
中共蕲春县老干部工作局,2#,广州广日,乘客电梯,TK10530,,广州广日,2016-12-1,16033833002,MAX-E/1050,曳引驱动,,,,1050,1.5,2017-4-10,蕲春大道,中共蕲春县委老干部工作局,,
湖北第二师范学院,6#货梯,富士,载货电梯,30134201152009110002,,富士,2008-9-17,2007B-244F,THJ1000/1.0,曳引驱动,,,,1000,1,2016-9-9,湖北第二师范学院图书馆,湖北第二师范学院,,
湖北第二师范学院,5#客梯,富士,乘客电梯,30104201152009110008,,富士,2008-9-17,2007B-244E,TKJ1150/1.0,曳引驱动,,,,1150,1,2016-9-9,湖北第二师范学院图书馆,湖北第二师范学院,,
湖北第二师范学院,4#客梯,富士,乘客电梯,30104201152009110007,,富士,2008-9-17,2007B-244D,TKJ1150/1.0,曳引驱动,,,,1150,1,2016-9-9,湖北第二师范学院图书馆,湖北第二师范学院,,
湖北第二师范学院,3#梯号,富士,乘客电梯,30104201152009110006,,富士,2008-9-17,2007B-244C,TKJ1150/1.0,曳引驱动,,,,1150,1,2016-9-9,湖北第二师范学院图书馆,湖北第二师范学院,,
湖北第二师范学院,2#客梯,富士,乘客电梯,30104201152009110005,,富士,2008-9-17,2007B-244B,TKJ1150/1.0,曳引驱动,,,,1150,1,2016-9-9,湖北第二师范学院图书馆,湖北第二师范学院,,
湖北第二师范学院,1#客梯,富士,乘客电梯,30104201152009110004,,富士,2008-9-17,2007B-244C,TKJ1150/1.0,曳引驱动,,,,1150,1,2016-9-9,湖北第二师范学院图书馆,湖北第二师范学院,,
武汉欢乐格林酒店有限公司,1#,汾湖,乘客电梯,30104201112013060091,,汾湖,2013-3-1,FH20120121,WTKJ800/1.0m/s,曳引驱动,,,,,1,2016-8-2,1+8城市酒店内,武汉欢乐格林酒店有限公司,,
新八世纪华城,5# 楼A单元,奥的斯 ,乘客电梯,31104211262017030048,,奥的斯 ,2016-1-5,F8NOD340,TKJ1000/1.75,曳引驱动,,,,1000,1.75,2016-6-22,蕲春县漕河镇枫树林社区居委会,蕲春华罗利物业管理有限公司,,
