淮滨县江淮名都,3#2单元北,,乘客电梯,31104115272018060034,,,,11701257,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县锦绣龙城,4#东单元北梯,,乘客电梯,31104115272017090002,,,,GA152353-170,ELCOSMO-E,曳引驱动,18,18,18,1050,1.75,2018.08.21,朝阳街,,,
淮滨县锦绣龙城,4#东单元南梯,,乘客电梯,31104115272017090003,,,,GA152353-320,ELCOSMO-E,曳引驱动,19,19,19,825,1.75,2018.08.21,朝阳街,,,
淮滨县锦绣龙城,4#西单元北梯,,乘客电梯,31104115272017090004,,,,GA152353-180,ELCOSMO-E,曳引驱动,18,18,18,1050,1.75,2018.08.21,朝阳街,,,
淮滨县锦绣龙城,4#西单元南梯,,乘客电梯,31104115272017090005,,,,GA152353-330,ELCOSMO-E,曳引驱动,19,19,19,825,1.75,2018.08.21,朝阳街,,,
淮滨县锦绣龙城,5#西单元北梯,,乘客电梯,31104115272017090006,,,,GA152353-190,ELCOSMO-E,曳引驱动,18,18,18,1050,1.75,2018.08.21,朝阳街,,,
淮滨县锦绣龙城,5#西单元南梯,,乘客电梯,31104115272017090007,,,,GA152353-340,ELCOSMO-E,曳引驱动,19,19,19,825,1.75,2018.08.21,朝阳街,,,
淮滨县锦绣龙城,5#东单元北梯,,乘客电梯,31104115272017090008,,,,GA152353-200,ELCOSMO-E,曳引驱动,18,18,18,1050,1.75,2018.08.21,朝阳街,,,
淮滨县锦绣龙城,5#东单元南梯,,乘客电梯,31104115272017090009,,,,GA152353-350,ELCOSMO-E,曳引驱动,19,19,19,825,1.75,2018.08.21,朝阳街,,,
淮滨县龙泉家园,1#,,乘客电梯,31104115272018050030,,,,VOSK201703001,WKW250,曳引驱动,6,6,6,800,1,2018.10.11,淮河大道,,,
淮滨县龙泉家园,2#,,乘客电梯,31104115272018050030,,,,VOSK201703002,WKW250,曳引驱动,6,6,6,800,1,2018.10.11,淮河大道,,,
淮滨县龙泉家园二期,3#,,乘客电梯,31104115272018070009,,,,VOSK201707003,WKW250,曳引驱动,6,6,6,800,1,2018.10.11,河南省淮滨县龙泉路,,,
淮滨县龙泉家园三期,4#,,乘客电梯,,,,,,WKW250,曳引驱动,6,6,6,800,1,,淮河大道,,,
淮滨县蓬莲园,东单元西,,乘客电梯,,,,,,ELCOSMO-E,曳引驱动,13,13,13,825,1,2018.12.28,淮滨县淮河大道,,,
淮滨县蓬莲园,东单元东,,乘客电梯,,,,,,ELCOSMO-E,曳引驱动,13,13,13,825,1,2018.12.28,淮滨县淮河大道,,,
淮滨县蓬莲园,西单元东,,乘客电梯,,,,,,ELCOSMO-E,曳引驱动,13,13,13,825,1,2018.12.28,淮滨县淮河大道,,,
淮滨县蓬莲园,西单元西,,乘客电梯,,,,,,ELCOSMO-E,曳引驱动,13,13,13,825,1,2018.12.28,淮滨县淮河大道,,,
淮滨县市场发展服务中心（沙特）,1#,,乘客电梯,,,,,,DP35,曳引驱动,6,6,6,800,1,2018.04.12,淮滨县淮河大道,,,
淮滨县万福家园,1#梯,,乘客电梯,31104115272017110001,,,,,ELCOSMO-E,曳引驱动,18,18,18,1050,1.75,2018.10.11,洪河路,,,
淮滨县万福家园,2#梯,,乘客电梯,31104115272017110002,,,,,ELCOSMO-E,曳引驱动,17,17,17,1050,1.75,2018.10.11,洪河路,,,
淮滨县万福家园,3#梯,,乘客电梯,31104115272017110003,,,,,ELCOSMO-E,曳引驱动,18,18,18,825,1.75,2018.10.11,洪河路,,,
淮滨县万福家园,4#梯,,乘客电梯,31104115272017110004,,,,,ELCOSMO-E,曳引驱动,18,18,18,1050,1.75,2018.10.11,洪河路,,,
淮滨县王店街道王成江,1#,,乘客电梯,31104115272018050003,,,,,UN-Victor,曳引驱动,6,6,6,800,1,2019.04.24,王店街道,,,
淮滨县王店粮管所门面房,1#,,乘客电梯,,,,,,UN-Victor,曳引驱动,7,7,7,800,1,2018.12.28,王店街道,,,
淮滨县王振,1#,,乘客电梯,31104115272017110005,,,,,WKW250,曳引驱动,6,6,6,800,1,2018.10.11,龙泉路民义街,,,
淮滨县五谷春酒业股份有限公司,仓库西,,载货电梯,,,,,,KLH/VF3000/0.5,曳引驱动,2,2,2,3000,0.5,2018.09.05,淮滨县金谷春大道东段,,,
淮滨县五谷春酒业股份有限公司,仓库东南,,载货电梯,,,,,,KLH/VF3000/0.5,曳引驱动,2,2,2,3000,0.5,2018.09.05,淮滨县金谷春大道东段,,,
